Date,Timestamp,Open,High,Low,Close,Volume
20260521,00:16:00,4550.035,4550.545,4547.585,4548.895,0.0437999989371747
20260521,00:17:00,4548.865,4549.785,4548.125,4549.375,0.0269399993267143
20260521,00:18:00,4548.915,4548.915,4539.935,4542.285,0.0495299989270279
20260521,00:19:00,4542.305,4545.885,4541.935,4545.825,0.0416999994631624
20260521,00:20:00,4545.775,4546.285,4541.735,4543.295,0.0381399990874343
20260521,00:21:00,4543.335,4543.975,4542.125,4542.205,0.0234599994146265
20260521,00:22:00,4542.425,4542.745,4540.875,4541.845,0.0262799993361114
20260521,00:23:00,4541.905,4542.785,4539.885,4540.135,0.028859999278211
20260521,00:24:00,4540.115,4540.718,4538.755,4540.655,0.0412099989771377
20260521,00:25:00,4540.748,4541.508,4538.225,4538.448,0.0938499979820335
20260521,00:26:00,4538.448,4539.275,4537.375,4537.668,0.0354699991876259
20260521,00:27:00,4537.635,4539.305,4537.085,4539.305,0.0260399993421743
20260521,00:28:00,4539.275,4544.265,4538.195,4543.915,0.0296099992701784
20260521,00:29:00,4543.865,4544.848,4543.095,4543.285,0.0286499992798781
20260521,00:30:00,4543.445,4544.245,4540.775,4542.115,0.0258099993370706
20260521,00:31:00,4542.085,4542.085,4539.265,4540.285,0.0271799993206514
20260521,00:32:00,4540.305,4541.815,4539.945,4539.945,0.0200099994981429
20260521,00:33:00,4539.915,4542.845,4539.775,4542.845,0.0175199995574076
20260521,00:34:00,4542.935,4544.915,4542.935,4544.225,0.0257999993482372
20260521,00:35:00,4544.165,4544.835,4543.495,4544.045,0.0249299993593013
20260521,00:36:00,4544.065,4544.235,4542.175,4543.025,0.0219299994496396
20260521,00:37:00,4543.075,4543.605,4542.165,4542.655,0.0186299995257286
20260521,00:38:00,4542.705,4543.965,4542.705,4543.425,0.0183599995361874
20260521,00:39:00,4543.445,4543.625,4541.965,4542.165,0.0167699995799921
20260521,00:40:00,4542.135,4543.525,4542.035,4542.925,0.0178799995483132
20260521,00:41:00,4542.995,4542.995,4541.185,4541.905,0.0153599996119738
20260521,00:42:00,4541.875,4542.575,4541.595,4542.575,0.012989999668207
20260521,00:43:00,4542.555,4543.575,4541.905,4542.625,0.0139199996483512
20260521,00:44:00,4542.575,4543.685,4542.575,4543.465,0.0137999996513827
