opened_at,closed_at,direction,entry_hour_utc,zscore,adx,atr,atr_ratio,turn_confirmed,reference_price,entry_price,exit_price,sl_distance,size_oz,bars_held,mfe_r,mfe_before_exit_r,mae_r,ambiguous_ohlc_exit,stop_overshoot_r,diagnosis_tag,exit_reason,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,balance_after
2024-05-24T16:30:00+00:00,2024-05-24T18:35:00+00:00,SHORT,16,2.228,14.5761,2.174,1.2655,True,2344.61,2344.38,2333.55,5.43,0.1648,25,2.1602,1.9208,0.2394,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.784784,0.154542,0.153828,1.476415,90.945273
2024-05-31T15:35:00+00:00,2024-05-31T15:45:00+00:00,SHORT,15,2.443,16.3175,1.8904,1.577,True,2348.17,2347.94,2352.98,4.73,0.1923,2,0.296,0.296,1.0592,False,0.0592,WEAK_REVERSAL,SL_HIT,-0.969192,0.180604,0.180991,-1.330787,89.614486
2024-08-06T08:50:00+00:00,2024-08-06T09:00:00+00:00,LONG,8,-2.521,16.2713,2.1917,1.0483,True,2402.7,2402.93,2397.32,5.48,0.1635,2,0.0,0.0,1.0182,False,0.0182,NO_REVERSAL,SL_HIT,-0.917235,0.157152,0.156785,-1.231171,88.383315
2024-08-29T12:55:00+00:00,2024-08-29T15:30:00+00:00,SHORT,12,2.536,17.0829,1.7412,1.1865,True,2522.86,2522.63,2513.96,4.35,0.2032,31,3.1655,1.8207,0.4276,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.761744,0.205039,0.204335,1.35237,89.735685
2024-12-06T16:10:00+00:00,2024-12-09T03:25:00+00:00,LONG,16,-2.304,16.8155,4.1504,1.9961,True,2628.16,2628.39,2649.12,10.38,0.0865,123,2.1098,1.9865,0.2611,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.793145,0.090942,0.09166,1.610543,91.346228
2025-01-13T12:05:00+00:00,2025-01-13T14:00:00+00:00,LONG,12,-2.237,16.2808,2.4307,1.4068,True,2680.64,2680.87,2671.72,6.08,0.1502,23,0.2993,0.2993,1.5,False,0.5,WEAK_REVERSAL,SL_HIT,-1.37433,0.161067,0.160517,-1.695914,89.650314
2025-02-04T14:20:00+00:00,2025-02-04T14:50:00+00:00,SHORT,14,2.574,13.5791,1.6656,0.8213,True,2819.12,2818.89,2823.19,4.16,0.2155,6,0.012,0.012,1.0264,False,0.0264,NO_REVERSAL,SL_HIT,-0.92665,0.242988,0.243359,-1.412997,88.237317
2025-02-06T13:40:00+00:00,2025-02-06T16:40:00+00:00,SHORT,13,2.202,16.493,2.1371,0.9431,True,2865.51,2865.28,2854.63,5.34,0.1652,36,2.0468,1.9981,0.9775,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.75938,0.189338,0.188634,1.381408,89.618725
2025-02-28T09:25:00+00:00,2025-02-28T10:15:00+00:00,LONG,9,-2.441,14.2175,1.9465,0.8345,True,2859.12,2859.35,2853.72,4.87,0.184,10,0.3696,0.3696,1.1499,False,0.1499,WEAK_REVERSAL,SL_HIT,-1.03592,0.210448,0.210034,-1.456402,88.162323
2025-04-03T07:50:00+00:00,2025-04-03T08:10:00+00:00,LONG,7,-2.601,13.4544,2.774,0.6349,True,3142.41,3142.64,3134.88,6.94,0.127,4,0.1081,0.1081,1.1138,False,0.1138,NO_REVERSAL,SL_HIT,-0.98552,0.159646,0.159252,-1.304418,86.857905
2025-05-08T15:25:00+00:00,2025-05-08T16:10:00+00:00,SHORT,15,2.404,17.4124,3.0396,0.8197,True,3353.63,3353.4,3363.47,7.6,0.1143,9,0.7882,0.7882,1.3211,False,0.3211,PARTIAL_REVERSAL,SL_HIT,-1.151001,0.153317,0.153778,-1.458096,85.399809
2025-06-10T07:30:00+00:00,2025-06-10T08:30:00+00:00,LONG,7,-2.415,16.2383,2.2475,0.8065,True,3303.7,3303.93,3315.14,5.62,0.152,12,2.2722,1.6388,0.1423,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.70392,0.200879,0.201561,1.301481,86.70129
2025-06-13T13:20:00+00:00,2025-06-13T15:50:00+00:00,LONG,13,-2.236,15.0059,3.5339,0.9419,True,3417.94,3418.17,3435.8,8.83,0.0982,30,2.0487,1.8301,0.7622,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.731266,0.134266,0.134958,1.462042,88.163332
2025-06-23T11:05:00+00:00,2025-06-23T12:10:00+00:00,SHORT,11,2.395,16.9087,2.5866,1.0912,True,3361.34,3361.11,3368.32,6.47,0.1363,13,0.3122,0.3122,1.1097,False,0.1097,WEAK_REVERSAL,SL_HIT,-0.982723,0.183248,0.183641,-1.349612,86.81372
2025-07-09T13:40:00+00:00,2025-07-09T14:55:00+00:00,SHORT,13,2.286,16.0865,2.0672,0.8571,True,3294.78,3294.55,3284.24,5.17,0.1679,15,2.1451,1.8511,0.3075,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.731049,0.221262,0.22057,1.289217,88.102938
2025-08-26T10:20:00+00:00,2025-08-26T18:10:00+00:00,LONG,10,-2.231,16.0142,2.23,1.285,True,3369.7,3369.93,3381.04,5.57,0.1582,94,2.149,1.9749,0.5099,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.757602,0.213249,0.213952,1.330401,89.433338
2025-09-04T16:25:00+00:00,2025-09-05T15:30:00+00:00,SHORT,16,2.386,17.1404,3.6296,1.244,True,3552.63,3552.4,3583.46,9.07,0.0986,263,1.8886,1.8886,3.4212,False,2.4212,GAVE_BACK_AFTER_1R,SL_HIT,-3.062516,0.140107,0.141332,-3.343954,86.089384
2025-10-16T12:30:00+00:00,2025-10-16T13:55:00+00:00,LONG,12,-2.215,12.6664,3.9155,0.7962,True,4225.24,4225.47,4245.02,9.79,0.0879,17,2.1073,1.7743,0.2972,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.718445,0.148568,0.149255,1.420623,87.510006
2025-10-20T15:00:00+00:00,2025-10-20T15:15:00+00:00,SHORT,15,2.205,15.7297,4.9083,1.0061,True,4276.06,4275.83,4295.1,12.27,0.0713,3,0.2355,0.2355,1.5681,False,0.5681,NO_REVERSAL,SL_HIT,-1.373951,0.121947,0.122496,-1.618394,85.891612
2025-11-25T14:45:00+00:00,2025-11-25T15:30:00+00:00,LONG,14,-2.275,15.0077,5.0232,1.0925,True,4121.24,4121.47,4146.56,12.56,0.0684,9,2.1624,1.9976,0.0868,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.716156,0.112763,0.11345,1.489943,87.381555
2025-11-26T13:35:00+00:00,2025-11-26T14:45:00+00:00,SHORT,13,2.531,15.9762,3.3866,0.9408,True,4172.1,4171.87,4154.96,8.47,0.1032,14,2.7473,1.8961,0.2243,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.745112,0.172215,0.171517,1.40138,88.782936
2025-12-10T15:45:00+00:00,2025-12-10T21:00:00+00:00,SHORT,15,2.258,15.435,3.1754,1.2432,True,4202.5,4202.27,4211.37,7.94,0.1118,63,1.6562,1.6562,1.1423,False,0.1423,GAVE_BACK_AFTER_1R,SL_HIT,-1.01738,0.187926,0.188332,-1.393638,87.389298
2025-12-26T12:20:00+00:00,2025-12-26T13:10:00+00:00,SHORT,12,2.263,17.3038,3.1251,0.9368,True,4522.31,4522.08,4506.49,7.81,0.1119,10,2.3956,1.9296,0.2458,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.744521,0.202408,0.20171,1.340402,88.7297
2026-01-02T12:40:00+00:00,2026-01-02T15:15:00+00:00,SHORT,12,2.26,15.823,3.5804,1.0242,True,4393.66,4393.43,4402.81,8.95,0.0991,31,0.9084,0.9084,1.0447,False,0.0447,PARTIAL_REVERSAL,SL_HIT,-0.929558,0.174156,0.174527,-1.278241,87.451459
2026-01-26T10:55:00+00:00,2026-01-26T15:00:00+00:00,LONG,10,-2.243,16.6453,5.7295,0.7726,True,5083.25,5083.48,5065.77,14.32,0.0611,49,1.0475,1.0475,1.2346,False,0.2346,GAVE_BACK_AFTER_1R,SL_HIT,-1.082081,0.12424,0.123807,-1.330129,86.12133
