previous_timestamp_utc,next_timestamp_utc,gap_minutes,category,open_gap_return_pct,previous_close,next_open
2024-03-28T22:55:00+00:00,2024-04-01T01:00:00+00:00,4445,extended_non_weekend_gap,0.40575,2232.88,2241.94
2024-05-27T21:25:00+00:00,2024-05-28T01:00:00+00:00,215,intraday_gap_requires_review,0.05915,2350.08,2351.47
2024-06-19T21:25:00+00:00,2024-06-20T01:00:00+00:00,215,intraday_gap_requires_review,0.04682,2327.98,2329.07
2024-07-04T21:30:00+00:00,2024-07-05T01:00:00+00:00,210,intraday_gap_requires_review,0.04711,2356.1,2357.21
2024-09-02T21:25:00+00:00,2024-09-03T01:00:00+00:00,215,intraday_gap_requires_review,0.0172,2499.46,2499.89
2024-11-28T21:25:00+00:00,2024-11-29T01:00:00+00:00,215,intraday_gap_requires_review,0.01934,2637.07,2637.58
2024-12-24T20:40:00+00:00,2024-12-26T01:00:00+00:00,1700,extended_non_weekend_gap,-0.0172,2616.59,2616.14
2024-12-31T23:45:00+00:00,2025-01-02T01:00:00+00:00,1515,extended_non_weekend_gap,-0.00495,2624.61,2624.48
2025-01-07T04:00:00+00:00,2025-01-07T07:00:00+00:00,180,intraday_gap_requires_review,-0.05191,2639.31,2637.94
2025-01-20T21:25:00+00:00,2025-01-21T01:00:00+00:00,215,intraday_gap_requires_review,0.05837,2706.7,2708.28
2025-02-17T21:25:00+00:00,2025-02-18T01:00:00+00:00,215,intraday_gap_requires_review,-0.02897,2899.45,2898.61
2025-04-17T23:55:00+00:00,2025-04-21T01:00:00+00:00,4385,extended_non_weekend_gap,0.17071,3327.24,3332.92
2025-05-26T21:25:00+00:00,2025-05-27T01:00:00+00:00,215,intraday_gap_requires_review,0.05027,3342.19,3343.87
2025-06-19T21:25:00+00:00,2025-06-20T01:00:00+00:00,215,intraday_gap_requires_review,-0.01513,3370.63,3370.12
2025-07-03T03:00:00+00:00,2025-07-03T12:10:00+00:00,550,long_intraday_or_holiday_gap,0.20201,3346.38,3353.14
2025-07-04T04:00:00+00:00,2025-07-04T10:25:00+00:00,385,long_intraday_or_holiday_gap,0.29871,3327.68,3337.62
2025-09-01T21:25:00+00:00,2025-09-02T01:05:00+00:00,220,intraday_gap_requires_review,0.00115,3476.37,3476.41
2025-09-12T23:45:00+00:00,2025-10-15T07:55:00+00:00,46570,extended_non_weekend_gap,14.72289,3642.56,4178.85
2025-11-27T21:25:00+00:00,2025-11-28T01:00:00+00:00,215,intraday_gap_requires_review,0.0332,4156.73,4158.11
2025-12-24T20:40:00+00:00,2025-12-26T01:00:00+00:00,1700,extended_non_weekend_gap,0.58693,4479.22,4505.51
2025-12-31T23:55:00+00:00,2026-01-02T01:00:00+00:00,1505,extended_non_weekend_gap,0.30799,4318.36,4331.66
2026-01-13T14:15:00+00:00,2026-01-22T18:50:00+00:00,13235,extended_non_weekend_gap,6.49636,4584.41,4882.23
