strategy,family,window,opened_at_utc,closed_at_utc,direction,entry,exit,size_oz,stop_distance_usd,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,exit_reason,bars_held,ambiguous_ohlc_exit,balance_after
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-07-13T08:25:00+00:00,2020-07-13T12:25:00+00:00,LONG,1807.34,1808.86,0.1501,4.0,0.228152,0.108513,0.108604,0.011035,TIME_EXIT,48,False,60.056252
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-07-14T07:40:00+00:00,2020-07-14T08:00:00+00:00,SHORT,1796.59,1800.85,0.1501,4.0,-0.639426,0.107867,0.108123,-0.855416,SL_HIT,4,False,59.200836
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-07-22T12:25:00+00:00,2020-07-22T12:45:00+00:00,LONG,1858.86,1853.09,0.148,4.0,-0.85396,0.110045,0.109703,-1.073707,SL_HIT,4,False,58.127129
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-07-22T13:55:00+00:00,2020-07-22T14:05:00+00:00,LONG,1856.42,1852.27,0.1453,4.0,-0.602995,0.107895,0.107654,-0.818544,SL_HIT,2,False,57.308584
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-07-24T11:10:00+00:00,2020-07-24T13:05:00+00:00,LONG,1893.57,1901.54,0.1433,4.0,1.142101,0.108539,0.108996,0.924565,TP_HIT,23,False,58.23315
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-07-31T07:35:00+00:00,2020-07-31T11:35:00+00:00,LONG,1973.17,1972.51,0.1241,4.692664,-0.081906,0.097948,0.097915,-0.27777,TIME_EXIT,48,False,57.95538
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-07-31T16:45:00+00:00,2020-07-31T17:25:00+00:00,LONG,1973.08,1968.13,0.1405,4.125861,-0.695475,0.110887,0.110609,-0.916971,SL_HIT,8,False,57.038409
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-03T07:20:00+00:00,2020-08-03T07:30:00+00:00,LONG,1974.64,1970.57,0.1426,4.0,-0.580382,0.112633,0.112401,-0.805417,SL_HIT,2,False,56.232992
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-03T11:20:00+00:00,2020-08-03T14:05:00+00:00,SHORT,1969.09,1961.12,0.1406,4.0,1.120582,0.110742,0.110293,0.899547,TP_HIT,33,False,57.132539
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-04T12:45:00+00:00,2020-08-04T14:10:00+00:00,SHORT,1973.85,1980.4,0.1428,4.0,-0.93534,0.112746,0.11312,-1.161207,SL_HIT,17,False,55.971333
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-05T13:25:00+00:00,2020-08-05T13:35:00+00:00,LONG,2040.26,2035.54,0.1361,4.111157,-0.642392,0.111072,0.110815,-0.864279,SL_HIT,2,False,55.107054
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-07T13:15:00+00:00,2020-08-07T14:05:00+00:00,SHORT,2052.73,2041.298986,0.0962,5.730507,1.099664,0.078989,0.078549,0.942125,TP_HIT,10,False,56.049179
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-10T07:00:00+00:00,2020-08-10T07:30:00+00:00,SHORT,2029.85,2034.32,0.1401,4.0,-0.626247,0.113753,0.114003,-0.854003,SL_HIT,6,False,55.195176
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-10T11:45:00+00:00,2020-08-10T12:05:00+00:00,SHORT,2029.2,2033.7,0.138,4.0,-0.621,0.112012,0.11226,-0.845272,SL_HIT,4,False,54.349904
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-13T13:05:00+00:00,2020-08-13T13:20:00+00:00,SHORT,1929.02,1935.15,0.1093,4.973298,-0.670009,0.084337,0.084605,-0.838951,SL_HIT,3,False,53.510954
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-14T17:50:00+00:00,2020-08-14T18:05:00+00:00,SHORT,1940.42,1945.07,0.1234,4.336211,-0.57381,0.095779,0.096009,-0.765598,SL_HIT,3,False,52.745356
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-19T18:10:00+00:00,2020-08-19T18:25:00+00:00,SHORT,1951.79,1938.291936,0.078,6.764032,1.052849,0.060896,0.060475,0.931478,TP_HIT,3,False,53.676834
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-20T07:45:00+00:00,2020-08-20T07:55:00+00:00,SHORT,1942.75,1933.356163,0.1139,4.711919,1.069958,0.088512,0.088084,0.893363,TP_HIT,2,False,54.570197
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-20T13:00:00+00:00,2020-08-20T14:25:00+00:00,SHORT,1933.83,1940.13,0.0916,5.955136,-0.57708,0.070856,0.071086,-0.719022,SL_HIT,17,False,53.851175
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-21T13:40:00+00:00,2020-08-21T14:50:00+00:00,SHORT,1930.81,1939.2,0.0815,6.604039,-0.683785,0.062944,0.063218,-0.809947,SL_HIT,14,False,53.041228
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-25T07:30:00+00:00,2020-08-25T09:45:00+00:00,SHORT,1932.56,1924.59,0.1326,4.0,1.056822,0.102503,0.10208,0.852239,TP_HIT,27,False,53.893467
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-26T09:25:00+00:00,2020-08-26T12:20:00+00:00,SHORT,1918.13,1910.16,0.1347,4.0,1.073559,0.103349,0.102919,0.867291,TP_HIT,35,False,54.760757
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-08-31T10:15:00+00:00,2020-08-31T10:35:00+00:00,SHORT,1962.35,1966.69,0.1369,4.0,-0.594146,0.107458,0.107696,-0.8093,SL_HIT,4,False,53.951457
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-02T13:05:00+00:00,2020-09-02T13:35:00+00:00,SHORT,1962.02,1952.155708,0.1091,4.947146,1.076194,0.085623,0.085192,0.90538,TP_HIT,6,False,54.856837
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-03T08:05:00+00:00,2020-09-03T08:25:00+00:00,SHORT,1933.78,1937.81,0.1371,4.0,-0.552513,0.106048,0.10627,-0.764831,SL_HIT,4,False,54.092006
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-03T17:40:00+00:00,2020-09-03T18:30:00+00:00,SHORT,1928.36,1934.26,0.1287,4.203959,-0.75933,0.099272,0.099576,-0.958178,SL_HIT,10,False,53.133828
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-04T07:05:00+00:00,2020-09-04T11:05:00+00:00,LONG,1936.5,1938.16,0.1328,4.0,0.220448,0.102867,0.102955,0.014626,TIME_EXIT,48,False,53.148454
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-07T08:45:00+00:00,2020-09-07T12:45:00+00:00,SHORT,1930.75,1930.49,0.1329,4.0,0.034554,0.102639,0.102625,-0.17071,TIME_EXIT,48,False,52.977745
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-09T08:50:00+00:00,2020-09-09T09:45:00+00:00,LONG,1931.29,1927.05,0.1324,4.0,-0.561376,0.102281,0.102057,-0.765714,SL_HIT,11,False,52.212031
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-10T08:30:00+00:00,2020-09-10T12:30:00+00:00,LONG,1946.57,1953.18,0.1305,4.0,0.862605,0.101611,0.101956,0.659038,TIME_EXIT,48,False,52.871069
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-10T17:35:00+00:00,2020-09-10T18:15:00+00:00,LONG,1957.35,1953.27,0.1322,4.0,-0.539376,0.103505,0.103289,-0.74617,SL_HIT,8,False,52.124899
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-15T17:45:00+00:00,2020-09-15T22:10:00+00:00,SHORT,1955.6,1954.92,0.1303,4.0,0.088604,0.101926,0.10189,-0.115212,DAY_EXIT,39,False,52.009687
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-16T18:20:00+00:00,2020-09-16T18:35:00+00:00,LONG,1965.66,1960.02,0.1161,4.479743,-0.654804,0.091285,0.091023,-0.837113,SL_HIT,3,False,51.172575
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-22T14:35:00+00:00,2020-09-22T15:10:00+00:00,SHORT,1909.26,1898.897328,0.0985,5.196336,1.020723,0.075225,0.074817,0.870682,TP_HIT,7,False,52.043256
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-23T13:45:00+00:00,2020-09-23T14:05:00+00:00,SHORT,1882.84,1874.068837,0.1183,4.400582,1.037629,0.089096,0.088681,0.859852,TP_HIT,4,False,52.903108
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-24T19:55:00+00:00,2020-09-24T22:10:00+00:00,LONG,1869.03,1869.9,0.1323,4.0,0.115101,0.098909,0.098955,-0.082763,DAY_EXIT,13,False,52.820345
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-28T15:05:00+00:00,2020-09-28T17:35:00+00:00,LONG,1869.71,1878.271878,0.123,4.295939,1.053111,0.09199,0.092411,0.86871,TP_HIT,30,False,53.689055
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-29T07:25:00+00:00,2020-09-29T11:25:00+00:00,LONG,1881.78,1889.75,0.1342,4.0,1.069574,0.101014,0.101442,0.867118,TP_HIT,48,False,54.556173
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-30T08:10:00+00:00,2020-09-30T12:10:00+00:00,SHORT,1886.78,1883.53,0.1364,4.0,0.4433,0.102943,0.102765,0.237592,TIME_EXIT,48,False,54.793765
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-09-30T14:30:00+00:00,2020-09-30T15:00:00+00:00,SHORT,1887.52,1892.4,0.1246,4.398905,-0.608048,0.094074,0.094317,-0.796439,SL_HIT,6,False,53.997326
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-06T12:25:00+00:00,2020-10-06T13:55:00+00:00,LONG,1917.24,1912.32,0.135,4.0,-0.6642,0.103531,0.103265,-0.870996,SL_HIT,18,False,53.12633
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-06T18:50:00+00:00,2020-10-06T19:00:00+00:00,SHORT,1902.65,1894.68,0.1328,4.0,1.058416,0.101069,0.100645,0.856702,TP_HIT,2,False,53.983032
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-07T12:30:00+00:00,2020-10-07T12:45:00+00:00,SHORT,1886.55,1891.97,0.135,4.0,-0.7317,0.101874,0.102166,-0.93574,SL_HIT,3,False,53.047292
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-09T07:05:00+00:00,2020-10-09T10:55:00+00:00,LONG,1909.11,1917.08,0.1326,4.0,1.056822,0.101259,0.101682,0.853881,TP_HIT,46,False,53.901172
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-09T12:10:00+00:00,2020-10-09T14:00:00+00:00,LONG,1915.55,1923.52,0.1348,4.0,1.074356,0.103286,0.103716,0.867353,TP_HIT,22,False,54.768526
Trend pullback — core,Trend pullback,Development (2019-09 to 2022-12),2020-10-12T15:05:00+00:00,2020-10-12T19:05:00+00:00,SHORT,1922.89,1923.62,0.1369,4.0,-0.099937,0.105297,0.105337,-0.310572,TIME_EXIT,48,False,54.457954
