opened_at,closed_at,direction,entry_hour_utc,zscore,adx,atr,atr_ratio,turn_confirmed,reference_price,entry_price,exit_price,sl_distance,size_oz,bars_held,mfe_r,mfe_before_exit_r,mae_r,ambiguous_ohlc_exit,stop_overshoot_r,diagnosis_tag,exit_reason,gross_pnl_usd,entry_fee_usd,exit_fee_usd,net_pnl_usd,balance_after
2020-11-05T12:35:00+00:00,2020-11-05T12:50:00+00:00,SHORT,12,2.211,17.3984,1.9278,1.1623,True,1923.59,1923.36,1928.26,4.82,0.1909,3,0.0,0.0,1.0104,False,0.0104,NO_REVERSAL,SL_HIT,-0.93541,0.146868,0.147242,-1.22952,90.789289
2021-01-07T13:50:00+00:00,2021-01-07T14:40:00+00:00,LONG,13,-2.414,15.7709,2.1878,1.0349,True,1912.25,1912.48,1906.54,5.47,0.166,10,1.2998,1.2998,1.0804,False,0.0804,GAVE_BACK_AFTER_1R,SL_HIT,-0.98604,0.126989,0.126594,-1.239623,89.549666
2021-01-11T12:25:00+00:00,2021-01-11T13:00:00+00:00,LONG,12,-2.402,14.163,1.8896,0.8196,True,1845.31,1845.54,1836.67,4.72,0.1897,7,0.2225,0.2225,1.8729,False,0.8729,NO_REVERSAL,SL_HIT,-1.682639,0.14004,0.139367,-1.962045,87.587621
2021-02-25T11:25:00+00:00,2021-02-25T11:40:00+00:00,LONG,11,-2.222,16.9646,1.819,0.9857,True,1789.34,1789.57,1783.22,4.55,0.1925,3,0.0,0.0,1.389,False,0.389,NO_REVERSAL,SL_HIT,-1.222375,0.137797,0.137308,-1.49748,86.090141
2021-06-01T14:05:00+00:00,2021-06-01T14:45:00+00:00,LONG,14,-2.265,13.526,2.7731,1.9018,True,1900.44,1900.67,1892.72,6.93,0.1242,8,0.0851,0.0851,1.1429,False,0.1429,NO_REVERSAL,SL_HIT,-0.98739,0.094425,0.09403,-1.175846,84.914295
2021-10-01T14:35:00+00:00,2021-10-04T08:40:00+00:00,SHORT,14,2.336,14.6151,2.6786,1.5416,True,1763.16,1762.93,1749.56,6.7,0.1267,203,2.0597,1.9687,0.4448,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.693979,0.089345,0.088668,1.515966,86.430261
2022-11-15T13:35:00+00:00,2022-11-15T13:50:00+00:00,SHORT,13,2.881,16.0843,2.196,1.561,True,1785.57,1785.34,1774.39,5.49,0.1574,3,2.1712,1.5792,0.1949,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.72353,0.112405,0.111716,1.499409,87.929671
2023-10-02T14:15:00+00:00,2023-10-02T23:10:00+00:00,LONG,14,-2.252,12.5548,2.3943,1.578,True,1829.26,1829.49,1822.09,5.99,0.1468,95,0.8247,0.8247,1.2304,False,0.2304,PARTIAL_REVERSAL,SL_HIT,-1.08632,0.107428,0.106993,-1.300741,86.62893
2024-04-08T10:40:00+00:00,2024-04-08T12:00:00+00:00,SHORT,10,2.238,16.9837,1.9916,0.8531,True,2342.75,2342.52,2332.59,4.98,0.174,16,2.0703,1.1727,0.2108,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.72782,0.163039,0.162348,1.402432,88.031362
2024-05-14T12:30:00+00:00,2024-05-14T13:10:00+00:00,LONG,12,-2.331,17.4445,1.9049,1.356,True,2341.25,2341.48,2350.97,4.76,0.1849,8,2.2836,1.7983,0.0924,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.754701,0.173176,0.173878,1.407647,89.439009
2024-05-24T13:30:00+00:00,2024-05-24T15:35:00+00:00,SHORT,13,2.228,14.5761,2.174,1.2655,True,2344.61,2344.38,2333.55,5.43,0.1647,25,2.1602,1.9208,0.2394,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.783701,0.154448,0.153734,1.475519,90.914528
2024-05-31T12:35:00+00:00,2024-05-31T12:45:00+00:00,SHORT,12,2.443,16.3175,1.8904,1.577,True,2348.17,2347.94,2352.98,4.73,0.1922,2,0.296,0.296,1.0592,False,0.0592,WEAK_REVERSAL,SL_HIT,-0.968688,0.18051,0.180897,-1.330095,89.584434
2024-08-07T15:35:00+00:00,2024-08-07T17:55:00+00:00,LONG,15,-2.262,15.0525,2.5583,1.139,True,2395.55,2395.78,2389.18,6.4,0.14,28,0.5719,0.5719,1.0266,False,0.0266,PARTIAL_REVERSAL,SL_HIT,-0.924,0.134164,0.133794,-1.191958,88.392476
2024-08-29T09:55:00+00:00,2024-08-29T12:30:00+00:00,SHORT,9,2.536,17.0829,1.7412,1.1865,True,2522.86,2522.63,2513.96,4.35,0.2032,31,3.1655,1.8207,0.4276,False,0.0,TP_CONFIRMED_REVERSAL,TP_HIT,1.761744,0.205039,0.204335,1.35237,89.744846
2024-10-03T16:40:00+00:00,2024-10-04T04:30:00+00:00,SHORT,16,2.363,15.0947,2.7378,0.9315,True,2658.95,2658.72,2666.14,6.84,0.1312,130,0.6272,0.6272,1.0804,False,0.0804,PARTIAL_REVERSAL,SL_HIT,-0.973504,0.13953,0.139919,-1.252953,88.491893
2024-10-04T14:55:00+00:00,2024-10-04T15:10:00+00:00,SHORT,14,2.221,17.935,3.9294,1.3816,True,2658.4,2658.17,2670.24,9.82,0.0901,3,0.0,0.0,1.2261,False,0.2261,NO_REVERSAL,SL_HIT,-1.087507,0.0958,0.096235,-1.279543,87.21235
2024-11-27T15:05:00+00:00,2024-11-27T19:35:00+00:00,LONG,15,-2.305,16.227,3.4124,1.5765,True,2643.23,2643.46,2634.71,8.53,0.1022,54,0.1747,0.1747,1.0223,False,0.0223,NO_REVERSAL,SL_HIT,-0.89425,0.108065,0.107707,-1.110022,86.102329
